Event,Site,Date,Round,White,Black,Result,CurrentPosition,Timezone,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,TimeControl,Termination,StartTime,EndDate,EndTime,Link,Moves
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,RainnWilson,1-0,8/pp5p/1k1pN1pB/1Q1P4/3q2n1/2N5/PPP2PPP/6K1 b - -,UTC,B06,https://www.chess.com/openings/Modern-Defense-Bishop-Attack-3...d6-4.Nf3,2014.12.14,18:11:36,2862,1200,1500+25,MagnusCarlsen won by checkmate,18:11:36,2014.12.14,18:37:13,https://www.chess.com/game/live/998800720,e4 g6 Nf3 d6 d4 Bg7 Bc4 Bg4 Bxf7+ Kxf7 Ng5+ Ke8 Qxg4 Nh6 Qh3 Nd7 Ne6 Qc8 Nxg7+ Kd8 Ne6+ Ke8 Bxh6 Nf6 Nc3 Kf7 d5 c6 O-O cxd5 exd5 Qc4 Ng5+ Ke8 Qe6 Qg4 Qf7+ Kd7 Rae1 Rae8 Re6 Qd4 Rfe1 Ng4 Rxe7+ Rxe7 Rxe7+ Kc8 Re8+ Rxe8 Qxe8+ Kc7 Ne6+ Kb6 Qb5#
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,solskytz,1-0,2N5/1r2k2p/2p1P1q1/p1P1Qp2/5p2/P1Br1P2/1P4PP/4R1K1 b - -,UTC,E42,https://www.chess.com/openings/Nimzo-Indian-Defense-Hubner-Rubinstein-Variation-5...d5-6.a3-Bxc3-7.Nxc3,2014.12.14,18:12:05,2862,1702,1500+25,MagnusCarlsen won by resignation,18:12:05,2014.12.14,18:43:33,https://www.chess.com/game/live/998800982,d4 Nf6 c4 e6 Nc3 Bb4 e3 c5 Ne2 d5 a3 Bxc3+ Nxc3 Nc6 dxc5 a5 cxd5 exd5 Bb5 O-O O-O Bg4 f3 Be6 Na4 Qe7 Bd2 Rfd8 Bc3 d4 exd4 Nd5 Qd2 Qf6 Rfe1 Nf4 Bxc6 bxc6 Nb6 Rab8 Re4 g5 d5 Qg6 Qd4 f5 Rxf4 gxf4 Qh8+ Kf7 dxe6+ Ke7 Qe5 Rb7 Re1 Rd3 Nc8+
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,Tildenbeatsu,1-0,r6k/pq3pQp/1p6/3bPN2/8/8/1PP3PP/3RR1K1 b - -,UTC,C67,https://www.chess.com/openings/Ruy-Lopez-Opening-Berlin-lHermet-Variation-6.Bg5-Be7-7.Bxe7,2014.12.14,18:13:04,2862,1200,1500+25,MagnusCarlsen won by checkmate,18:13:04,2014.12.14,18:56:09,https://www.chess.com/game/live/998802049,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 d4 Nd6 Bg5 Be7 Bxe7 Nxe7 dxe5 Nxb5 a4 O-O axb5 Ng6 Nc3 b6 Qd5 c6 bxc6 dxc6 Qxc6 Be6 Rad1 Qc8 Qe4 Bf5 Qe3 Qb7 Nd4 Be6 f4 Bc4 Rfe1 Ne7 f5 Nd5 Nxd5 Bxd5 f6 gxf6 Nf5 Kh8 Qh6 Rg8 Qxf6+ Rg7 Qxg7#
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,mtmnfy,1-0,4r1k1/1p1n1Nr1/p2P2P1/7Q/5P1P/8/PP5K/8 b - -,UTC,C04,https://www.chess.com/openings/French-Defense-Tarrasch-Guimard-Main-Line...6.Bd3-f6-7.exf6-Qxf6,2014.12.14,18:11:52,2862,1200,1500+25,MagnusCarlsen won by resignation,18:11:52,2014.12.14,19:05:52,https://www.chess.com/game/live/998800852,d4 e6 e4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Bd3 f6 exf6 Qxf6 O-O Bd6 Nb3 O-O c4 Bf4 Re1 e5 cxd5 Nxd4 Nbxd4 exd4 Bxf4 Qxf4 Re4 Qf6 Rc1 Nb6 Rxc7 Bf5 Ree7 Bxd3 Qxd3 Rac8 Rxg7+ Qxg7 Rxg7+ Kxg7 Qxd4+ Kg8 h4 Rc1+ Kh2 Rc7 Ne5 Rg7 d6 Nd7 f4 a6 g4 Re8 g5 h6 Qd5+ Kh7 g6+ Kh8 Nf7+ Kg8 Nxh6+ Kh8 Nf7+ Kg8 Qh5
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,stepanosinovsky,0-1,8/3N1pbk/6pp/3Q4/P4P2/8/r2r4/6K1 w - -,UTC,A45,https://www.chess.com/openings/Trompowsky-Attack-2...c5-3.d5-Ne4,2014.12.14,18:12:53,2862,2360,1500+25,stepanosinovsky won by resignation,18:12:53,2014.12.14,19:12:15,https://www.chess.com/game/live/998801568,d4 Nf6 Bg5 c5 d5 Ne4 Bc1 e6 c4 b5 cxb5 Qa5+ Nd2 exd5 e3 a6 bxa6 Nxa6 Nf3 Be7 Be2 O-O O-O Bb7 Ne5 Qc7 Nxe4 Qxe5 Ng3 g6 Bd2 Bf6 Bf3 Bc6 Bc3 d4 exd4 cxd4 Re1 dxc3 Rxe5 cxb2 Rb1 Bxe5 Bxc6 dxc6 Ne4 Nb4 f4 Rfd8 Qb3 Bd4+ Kf1 Rab8 Rxb2 Na6 Qc4 Rxb2 Qxa6 Bg7 Ke1 h6 a4 Kh7 Qxc6 Rdb8 Nf6+ Kh8 Nd7 R8b3 Qa8+ Kh7 Qd5 Ra3 Qd1 Rxg2 Kf1 Rxh2 Kg1 Raa2 Qd5 Rhd2
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,cool64chess,1-0,8/p3k1B1/6P1/2pK3P/2P3n1/P7/8/8 b - -,UTC,A04,https://www.chess.com/openings/Reti-Opening-Sicilian-Invitation...3.e3-Nf6-4.Bb2-Nc6-5.Bb5,2014.12.14,18:13:11,2862,1891,1500+25,MagnusCarlsen won by resignation,18:13:11,2014.12.14,19:13:51,https://www.chess.com/game/live/998801799,b3 d5 Bb2 c5 e3 Nc6 Bb5 Nf6 Nf3 e6 Bxc6+ bxc6 O-O Bd6 d3 O-O Ne5 Qc7 f4 Nd7 Qh5 f6 Ng4 f5 Qg5 Nb6 Nf6+ Kh8 Nh5 e5 Nd2 d4 Nf3 e4 Nh4 Rf7 exd4 Be7 Qg3 Qd8 dxc5 Bxh4 Bxg7+ Kg8 Bf6+ Bxg3 Bxd8 Nd7 Nxg3 exd3 c4 Nxc5 Ba5 Be6 Rad1 Rd7 Rfe1 Kf7 Re5 Nb7 Bc3 Re8 Nxf5 Bxf5 Rxf5+ Kg8 Re5 Rxe5 Bxe5 Nc5 Kf2 Na6 a3 Nc5 Ke3 Nxb3 Rxd3 Rxd3+ Kxd3 Kf7 f5 Nc5+ Kd4 Na4 g4 Nb2 g5 Nd1 h4 Nf2 h5 c5+ Kd5 Ng4 g6+ hxg6 fxg6+ Ke7 Bg7
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,penguingm1,1-0,6k1/8/4NBBK/1pPp1p2/1P3P2/4P3/8/8 b - -,UTC,D37,https://www.chess.com/openings/Queens-Gambit-Declined-Harrwitz-Two-Knights-Blockade-Line-7...Ne4,2014.12.14,18:12:25,2862,2384,1500+25,MagnusCarlsen won by resignation,18:12:25,2014.12.14,19:14:54,https://www.chess.com/game/live/998801336,Nf3 d5 c4 e6 d4 Nf6 Nc3 Be7 Bf4 O-O e3 Nbd7 c5 Ne4 Rc1 f5 h3 c6 b4 Bf6 Bd3 a5 a3 axb4 axb4 b5 O-O Re8 Ne2 Bb7 Ra1 Qe7 Ne5 Rxa1 Qxa1 Nd2 Rd1 Ra8 Qxa8+ Bxa8 Rxd2 Bb7 Ra2 Qd8 Ra7 Nxe5 dxe5 Qb8 Rxb7 Qxb7 exf6 gxf6 Bd6 Qa6 Nd4 Kf7 Be2 Qc8 Bh5+ Kg7 f4 Qd7 Kh2 Kh6 g4 fxg4 hxg4 Kg7 g5 f5 Kg3 Kg8 Be5 Qc8 g6 hxg6 Bxg6 Qa6 Kh4 Qa1 Kg5 Qa7 Nxc6 Qd7 Nd4 Qe7+ Bf6 Qf8 Nxe6 Qh6+ Kxh6
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,Darkcloudy,1-0,8/4k1PK/8/8/8/8/8/8 b - -,UTC,B48,https://www.chess.com/openings/Sicilian-Defense-Taimanov-Bastrikov-Variation...9.Bxd4-Bc5-10.Bxc5-Qxc5,2014.12.14,18:12:30,2862,1736,1500+25,MagnusCarlsen won by resignation,18:12:30,2014.12.14,19:17:54,https://www.chess.com/game/live/998801451,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nc3 Qc7 Be3 a6 Bd3 Nf6 O-O Nxd4 Bxd4 Bc5 Bxc5 Qxc5 Qe1 e5 Na4 Qd4 Qa5 O-O Nb6 Rb8 Rad1 d6 c3 Qc5 Qxc5 dxc5 Bc4 Nxe4 Rfe1 Nf6 Rxe5 Be6 Bxe6 fxe6 Rxe6 Rbd8 Rxd8 Rxd8 Kf1 Rd1+ Re1 Rd2 Nc4 Rc2 Rb1 Ng4 f3 b5 fxg4 bxc4 a4 Kf7 h3 Kf6 Re1 Rxb2 Re4 Ra2 Rxc4 Ke6 g5 Ra3 Rxc5 Rxa4 Rc7 g6 Rxh7 Kf5 h4 Rc4 Ra7 Rxh4 Rxa6 Rc4 Rf6+ Kxg5 Rf3 Re4 Kf2 Kg4 Rd3 Kf4 g3+ Ke5 Re3 Kd5 Rxe4 Kxe4 Ke2 g5 c4 Kd4 Kf3 Kxc4 Kg4 Kd5 Kxg5 Ke6 Kg6 Ke7 g4 Kf8 Kh7 Kf7 g5 Kf8 g6 Ke7 g7
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,jbj,1-0,3Q1R2/8/6k1/8/8/1K6/3r4/8 b - -,UTC,E21,https://www.chess.com/openings/Nimzo-Indian-Defense-Three-Knights-Duchamp-Modern-Line-6...h6-7.Bh4,2014.12.14,18:12:12,2862,1950,1500+25,MagnusCarlsen won by resignation,18:12:12,2014.12.14,19:26:56,https://www.chess.com/game/live/998801076,d4 Nf6 c4 e6 Nf3 b6 Nc3 Bb7 Bg5 Bb4 Nd2 h6 Bh4 O-O e4 Bxc3 bxc3 g5 Bg3 Nxe4 Nxe4 Bxe4 h4 d6 hxg5 Qxg5 Rh5 Qg6 Rh4 Bf5 Bf4 e5 Rxh6 Qg4 Qxg4+ Bxg4 Bg5 Nd7 Bd3 Rfe8 Kd2 e4 Bc2 Bf5 Rah1 Kg7 Ba4 f6 Bxd7 Bxd7 Bxf6+ Kf7 Rh7+ Kxf6 Rxd7 Rg8 Rh6+ Kf5 Rf7+ Kg5 Re6 Kh5 Rh7+ Kg5 Rxc7 Rgc8 Rxc8 Rxc8 Rxd6 Rxc4 Rd7 Ra4 Ke3 Rxa2 Kxe4 Rxf2 Rxa7 Rc2 Kd3 Rb2 Rb7 b5 d5 Kf5 Kd4 Rd2+ Kc5 Rd3 Rf7+ Ke4 Re7+ Kf5 d6 Kf6 Re1 Kf7 Kc6 Rxc3+ Kxb5 Rd3 Kc6 Rc3+ Kb7 Rc2 d7 Rb2+ Kc7 Rc2+ Kd8 Rxg2 Rc1 Ra2 Rf1+ Kg7 Rf4 Re2 Kc7 Rc2+ Kd6 Rd2+ Ke6 Kg6 Rf8 Re2+ Kd6 Rd2+ Kc6 Rc2+ Kb5 Rb2+ Kc4 Rc2+ Kb3 Rd2 d8=Q
Live Chess,Chess.com,2014.12.14,-,MagnusCarlsen,Kacparov,1-0,8/5pk1/6p1/2p5/4R2q/2Q4B/4r3/6K1 b - -,UTC,A50,https://www.chess.com/openings/Indian-Game...3.Nc3-c5-4.d5-b5,2014.12.14,18:12:07,2862,2335,1500+25,MagnusCarlsen won by resignation,18:12:07,2014.12.14,19:28:05,https://www.chess.com/game/live/998801191,c4 Nf6 d4 c5 d5 a6 Nc3 b5 Nf3 d6 e4 b4 Na4 Nxe4 Bd3 Nf6 Bg5 g6 a3 a5 O-O Bg7 Qd2 O-O Bh6 Bg4 Bxg7 Kxg7 Ng5 Bd7 Bc2 h6 Nf3 Ra7 Rfe1 Qe8 Nb6 Bg4 axb4 Bxf3 bxc5 Bg4 h3 dxc5 hxg4 Qd8 Na4 Qd6 Nc3 Nxg4 g3 Qf6 Nb5 Ra6 Bd1 h5 Ra3 e5 Nc3 Nd7 Ne4 Qd8 d6 Ngf6 Nc3 Nb8 Nb5 Nc6 Bf3 Nd4 Rxe5 Nxb5 cxb5 Rxd6 Qc3 Re8 Rxe8 Qxe8 Rxa5 Qc8 Ra7 Qf5 Ra3 Kh7 Ra6 Rd4 Rc6 Ne4 Qe3 Ng5 Bg2 h4 gxh4 Qb1+ Kh2 Ne6 Qg3 Qxb2 b6 Qb4 b7 Qxb7 Rxe6 Qb4 Re7 Rxh4+ Bh3 Rf4 Be6 Kg7 Qe3 Rf6 Bh3 Qh4 Kg1 Rxf2 Re4 Re2 Qc3+
